               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068285,            0.038326,            0.027577,             0.63591,             0.38799,             0.35439,             0.10585,            0.068306,            0.061496,            0.022609,            0.070231,           0.0033077,           0.0033077
                   1,            0.057204,            0.033852,            0.009169,             0.45285,             0.60432,             0.35359,              0.1114,            0.063304,              0.0633,           0.0077405,            0.038916,           0.0053261,           0.0053261
                   2,            0.054805,            0.032942,           0.0063832,             0.55362,             0.52338,             0.51339,             0.15481,            0.059766,            0.042283,            0.012297,           0.0062809,           0.0060245,           0.0060245
                   3,            0.051691,            0.032663,           0.0054793,              0.7939,             0.66852,             0.69217,             0.27158,            0.051307,            0.027465,           0.0049715,             0.00406,             0.00406,             0.00406
                   4,            0.050913,            0.032343,           0.0053718,             0.80604,             0.67794,             0.69128,             0.26435,            0.050703,            0.027409,           0.0042762,             0.00406,             0.00406,             0.00406
