                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0572,                 1.5158,                 1.3363,                0.00277,                0.01652,                0.00459,                0.00185,                 3.0456,                 167.29,                 2.1006,               0.010692,              0.0099231,              0.0099231
                      2,                  1.973,                 1.1459,                 1.3372,                0.68636,                0.54939,                0.62275,                0.23286,                 2.1027,                 2.3648,                 1.4075,                0.00802,                0.00802,                0.00802
                      3,                 1.9296,                 1.0699,                 1.3081,                0.61901,                0.47861,                0.51822,                0.19555,                 2.3388,                 2.2787,                 1.5314,                0.00802,                0.00802,                0.00802
                      4,                 1.8722,                  1.032,                 1.2812,                0.69708,                0.61883,                0.61028,                 0.2342,                 2.2994,                 1.1807,                 1.5087,                0.00604,                0.00604,                0.00604
