               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15765,            0.087003,            0.011105,             0.38049,            0.014409,           0.0054847,          0.00069428,             0.15019,              0.1281,           0.0087574,            0.070263,           0.0033041,           0.0033041
                   1,             0.13875,              0.1663,           0.0067303,             0.49153,             0.17382,             0.10481,             0.02648,             0.13779,             0.23675,           0.0092495,            0.038949,           0.0053232,           0.0053232
                   2,             0.12606,             0.22404,           0.0066684,             0.50704,             0.16574,            0.093965,            0.023657,             0.14753,             0.35742,             0.01547,           0.0063147,           0.0060223,           0.0060223
                   3,             0.11928,             0.24314,           0.0064487,             0.58941,              0.2791,             0.18901,             0.05293,             0.12456,             0.27377,           0.0082012,             0.00406,             0.00406,             0.00406
                   4,             0.11624,              0.2467,           0.0063139,             0.58685,             0.26445,             0.20555,            0.059384,              0.1251,             0.27717,           0.0083446,             0.00406,             0.00406,             0.00406
