               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076132,            0.023628,           0.0081036,            0.022257,            0.022243,           0.0039335,          0.00098676,            0.049831,            0.034585,           0.0082455,            0.070263,           0.0033041,           0.0033041
                   1,             0.06186,            0.026402,           0.0023639,            0.069768,            0.097776,            0.013252,            0.003205,            0.038892,            0.090128,            0.014493,            0.038949,           0.0053232,           0.0053232
                   2,            0.053119,            0.025216,           0.0014793,             0.17874,             0.10429,            0.054825,            0.012329,            0.034921,             0.06014,           0.0028868,           0.0063147,           0.0060223,           0.0060223
                   3,            0.046093,            0.025376,           0.0012098,             0.14911,            0.062269,            0.050516,            0.013803,            0.038305,            0.046391,           0.0065753,             0.00406,             0.00406,             0.00406
                   4,            0.041171,            0.024496,           0.0010498,             0.34299,              0.2016,              0.1776,            0.053963,            0.029267,            0.041143,          0.00098106,             0.00406,             0.00406,             0.00406
