               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07521,             0.10194,            0.019482,             0.51882,             0.60675,             0.47404,             0.15696,            0.064986,            0.078625,           0.0077185,            0.070231,           0.0033077,           0.0033077
                   1,            0.062427,            0.096558,           0.0081076,             0.58715,              0.5739,             0.51097,             0.15808,            0.064328,             0.08405,           0.0072338,            0.038916,           0.0053261,           0.0053261
                   2,            0.060416,             0.09497,           0.0073288,             0.53906,              0.6178,             0.43373,             0.13659,            0.067929,            0.083644,           0.0061896,           0.0062809,           0.0060245,           0.0060245
                   3,            0.058133,            0.094816,            0.006611,             0.66468,             0.61272,             0.58053,             0.20863,            0.067097,            0.075939,           0.0054976,             0.00406,             0.00406,             0.00406
                   4,            0.057303,            0.094689,           0.0066528,             0.77203,             0.68282,             0.67293,             0.25494,            0.056273,            0.077588,           0.0049112,             0.00406,             0.00406,             0.00406
